Fecha,Caudal,Zscore,Caudal_sin_cap,Caudal_log,Caudal_boxcox,Caudal_diff
2010-06-10,3.4289999999999994,0.19672454737636635,3.16,1.425515074273172,1.8517014330483417,-0.34199999999999964
2010-06-11,3.34,0.05265561878924225,3.559,1.5171033012313044,2.1539105449368927,0.399
2010-06-12,3.2597142857142853,0.017029880765583642,3.502,1.5045217424845405,2.111233717158483,-0.057000000000000384
2010-06-13,3.2359999999999998,0.16234883524827512,3.215,1.4386495914538187,1.8938577976273026,-0.2869999999999999
2010-06-14,3.2359999999999998,0.3342273958887321,2.94,1.3711807233098425,1.681351626021416,-0.2749999999999999
2010-06-15,3.1711428571428573,0.3342273958887321,2.94,1.3711807233098425,1.681351626021416,0.0
2010-06-16,3.106571428571428,0.08672226856647401,3.336,1.4669522641373451,1.9860253056936843,0.3959999999999999
2010-06-17,3.0829999999999993,0.19672454737636635,3.16,1.425515074273172,1.8517014330483417,-0.1759999999999997
2010-06-18,3.0987142857142858,0.23110025950445787,3.105,1.4122057429043917,1.8093763898376547,-0.05500000000000016
2010-06-19,3.1144285714285713,0.2654759716325494,3.05,1.3987168811184478,1.7668789867991221,-0.05500000000000016
2010-06-20,3.0814285714285714,0.2654759716325494,3.05,1.3987168811184478,1.7668789867991221,0.0
2010-06-21,3.0657142857142854,0.2654759716325494,3.05,1.3987168811184478,1.7668789867991221,0.0
2010-06-22,3.042142857142857,0.2654759716325494,3.05,1.3987168811184478,1.7668789867991221,0.0
2010-06-23,3.0342857142857143,0.23110025950445787,3.105,1.4122057429043917,1.8093763898376547,0.05500000000000016
2010-06-24,3.018571428571428,0.2654759716325494,3.05,1.3987168811184478,1.7668789867991221,-0.05500000000000016
2010-06-25,3.0185714285714282,0.3342273958887321,2.94,1.3711807233098425,1.681351626021416,-0.10999999999999988
2010-06-26,3.0185714285714282,0.2998516837606406,2.995,1.385043579218238,1.7242053944134315,0.05500000000000016
2010-06-27,3.0028571428571422,0.3342273958887321,2.94,1.3711807233098425,1.681351626021416,-0.05500000000000016
2010-06-28,3.018571428571428,0.2654759716325494,3.05,1.3987168811184478,1.7668789867991221,0.10999999999999988
2010-06-29,3.0342857142857143,0.2654759716325494,3.05,1.3987168811184478,1.7668789867991221,0.0
2010-06-30,3.0185714285714282,0.2998516837606406,2.995,1.385043579218238,1.7242053944134315,-0.054999999999999716
2010-07-01,3.026428571428571,0.19672454737636635,3.16,1.425515074273172,1.8517014330483417,0.16500000000000004
2010-07-02,3.057857142857143,0.2654759716325494,3.05,1.3987168811184478,1.7668789867991221,-0.11000000000000032
2010-07-03,3.097142857142857,0.3686031080168236,2.885,1.3571229838196106,1.6383135283081165,-0.16500000000000004
2010-07-04,3.3569999999999998,0.2998516837606406,2.995,1.385043579218238,1.7242053944134315,0.11000000000000032
2010-07-05,3.501714285714286,0.1279731231201836,3.27,1.451613827240533,1.935849024627316,0.2749999999999999
2010-07-06,3.6098571428571424,0.0935974109920921,3.325,1.4644121403838426,1.9776785225567544,0.05500000000000016
2010-07-07,3.6805714285714286,0.8370468682575097,4.814,1.7602688021366841,3.0584789453300725,1.4889999999999999
2010-07-08,3.664857142857143,0.436413568728299,4.173,1.643452791021378,2.6042793891965372,-0.641
2010-07-09,3.6177142857142854,0.2076588298395452,3.807,1.5700731889118238,2.3378087032696504,-0.3660000000000001
2010-07-10,3.5892857142857144,0.05922169886400087,3.38,1.4770487243883548,2.0193495744478027,-0.42700000000000005
2010-07-11,3.3614285714285717,0.3686031080168236,2.885,1.3571229838196106,1.6383135283081165,-0.4950000000000001
2010-07-12,3.2767142857142852,0.3342273958887321,2.94,1.3711807233098425,1.681351626021416,0.05500000000000016
2010-07-13,3.355571428571428,0.21797498760100484,3.126,1.41730841464906,1.8255569989104647,0.18599999999999994
2010-07-14,3.465428571428571,0.15984878345714118,3.219,1.4395981331422014,1.8969172314717755,0.09299999999999997
2010-07-15,3.605857142857143,0.06578089069269527,3.58,1.5216989981260935,2.169593966573281,0.3610000000000002
2010-07-16,3.686142857142857,0.5526659770160263,4.359,1.6787773905127132,2.7376265805901316,0.7789999999999999
2010-07-17,3.7224285714285714,0.4214132579814955,4.149,1.6388025210640043,2.58697502410853,-0.20999999999999996
2010-07-18,3.7218571428571425,0.24578461965433746,3.868,1.5826831751252808,2.3826150264643675,-0.28100000000000014
2010-07-19,3.646142857142857,0.017029880765583642,3.502,1.5045217424845405,2.111233717158483,-0.3660000000000001
2010-07-20,3.4434285714285715,0.05922169886400087,3.38,1.4770487243883548,2.0193495744478027,-0.12199999999999989
2010-07-21,3.318571428571428,0.16234883524827512,3.215,1.4386495914538187,1.8938577976273026,-0.16500000000000004
2010-07-22,3.2017142857142855,0.2654759716325494,3.05,1.3987168811184478,1.7668789867991221,-0.16500000000000004
2010-07-23,3.2675714285714283,0.3342273958887321,2.94,1.3711807233098425,1.681351626021416,-0.10999999999999988
2010-07-24,3.4048571428571424,0.12484805838126627,3.275,1.4527841023887236,1.9396583390654463,0.33499999999999996
2010-07-25,3.4632857142857136,0.2654759716325494,3.05,1.3987168811184478,1.7668789867991221,-0.2250000000000001
2010-07-26,3.5104285714285717,0.30516084969376817,3.963,1.6020103966053039,2.4520742519398815,0.9130000000000003
2010-07-27,3.541857142857143,0.5414157439559237,4.341,1.6754129013576333,2.7247798977156457,0.3780000000000001
2010-07-28,3.5254285714285714,0.09328146039516842,3.624,1.5312601313700764,2.2023862544370876,-0.7170000000000001
2010-07-29,3.5342857142857143,0.05922169886400087,3.38,1.4770487243883548,2.0193495744478027,-0.24400000000000022
2010-07-30,3.4431428571428566,0.19672454737636635,3.16,1.425515074273172,1.8517014330483417,-0.21999999999999975
2010-07-31,3.274428571428571,0.19672454737636635,3.16,1.425515074273172,1.8517014330483417,0.0
2010-08-01,3.2081428571428567,0.22672516886997343,3.112,1.413909528152864,1.8147727076644833,-0.04800000000000004
2010-08-02,3.1825714285714284,0.0935974109920921,3.325,1.4644121403838426,1.9776785225567544,0.21300000000000008
2010-08-03,3.1511428571428572,0.19672454737636635,3.16,1.425515074273172,1.8517014330483417,-0.16500000000000004
2010-08-04,3.1197142857142857,0.19672454737636635,3.16,1.425515074273172,1.8517014330483417,0.0
2010-08-05,3.0951428571428568,0.1710990165172437,3.201,1.4353225921872452,1.8831428923826892,0.040999999999999925
2010-08-06,3.040142857142857,0.3342273958887321,2.94,1.3711807233098425,1.681351626021416,-0.2610000000000001
2010-08-07,3.008714285714285,0.3342273958887321,2.94,1.3711807233098425,1.681351626021416,0.0
2010-08-08,3.008714285714285,0.3342273958887321,2.94,1.3711807233098425,1.681351626021416,0.0
2010-08-09,3.0342857142857143,0.3342273958887321,2.94,1.3711807233098425,1.681351626021416,0.0
2010-08-10,3.097142857142857,0.3342273958887321,2.94,1.3711807233098425,1.681351626021416,0.0
